Project,Uraian,Debit,Kredit,Saldo,jenis_pembayaran
0,Pembangunan di Km 9,0.0,10000000.0,163200000.0,1
0,Pembangunan di Km 9,0.0,10000000.0,153193500.0,1
0,Pembangunan di Km 9,0.0,10000000.0,143187000.0,1
0,Pembangunan di Km 9,0.0,5000000.0,138180500.0,1
0,Pembangunan di Km 9,0.0,3750000.0,134430500.0,1
0,Pembangunan di Km 9,0.0,5000000.0,129409500.0,1
0,Pembangunan di Km 9,0.0,1000000.0,128409500.0,1
1,Pembangunan di Siaga,0.0,23000.0,128386500.0,1
1,Pembangunan di Siaga,0.0,1500000.0,126886500.0,1
0,Pembangunan di Km 9,0.0,500000.0,126380000.0,1
0,Pembangunan di Km 9,0.0,400000.0,125980000.0,1
1,Pembangunan di Siaga,0.0,250000.0,125724867.0,1
0,Pembangunan di Km 9,0.0,25000000.0,100718367.0,1
0,Pembangunan di Km 9,0.0,15000000.0,85711867.0,1
0,Pembangunan di Km 9,0.0,300000.0,85411867.0,1
0,Pembangunan di Km 9,0.0,500000.0,84911867.0,1
0,Pembangunan di Km 9,0.0,750000.0,84161867.0,1
1,Pembangunan di Siaga,0.0,750000.0,83405367.0,1
0,Pembangunan di Km 9,0.0,6000000.0,77398867.0,1
0,Pembangunan di Km 9,0.0,3750000.0,73642367.0,1
0,Pembangunan di Km 9,0.0,6000000.0,67642367.0,1
1,Pembangunan di Siaga,0.0,375000.0,67260867.0,1
0,Pembangunan di Km 9,0.0,1000000.0,66260867.0,1
0,Pembangunan di Km 9,0.0,250000.0,66010867.0,1
0,Pembangunan di Km 9,0.0,300000.0,65704367.0,1
1,Pembangunan di Siaga,0.0,23000.0,65681367.0,1
0,Pembangunan di Km 9,0.0,1000000.0,64681367.0,1
0,Pembangunan di Km 9,0.0,700000.0,63981367.0,1
0,Pembangunan di Km 9,0.0,500000.0,63474867.0,1
0,Pembangunan di Km 9,0.0,2800000.0,60674867.0,1
0,Pembangunan di Km 9,0.0,300000.0,60368367.0,1
0,Pembangunan di Km 9,0.0,6000000.0,54368367.0,1
0,Pembangunan di Km 9,0.0,200000.0,54161867.0,1
1,Pembangunan di Siaga,0.0,750000.0,53411867.0,1
0,Pembangunan di Km 9,0.0,500000.0,52911867.0,1
1,Pembangunan di Siaga,0.0,95000.0,52816867.0,1
0,Pembangunan di Km 9,0.0,1500000.0,51310367.0,1
0,Pembangunan di Km 9,0.0,858000.0,50445867.0,1
0,Pembangunan di Km 9,0.0,6000000.0,44445867.0,1
0,Pembangunan di Km 9,0.0,475000.0,43970867.0,1
1,Pembangunan di Siaga,0.0,225000.0,43745867.0,1
0,Pembangunan di Km 9,0.0,200000.0,43539367.0,1
0,Pembangunan di Km 9,0.0,3000000.0,40532867.0,1
0,Pembangunan di Km 9,0.0,700000.0,39832867.0,1
0,Pembangunan di Km 9,0.0,20000000.0,19619867.0,1
1,Pembangunan di Siaga,0.0,200000.0,19306867.0,1
0,Pembangunan di Km 9,0.0,1000000.0,18300367.0,1
1,Pembangunan di Siaga (Biaya Perbaikan),0.0,150000.0,18150367.0,1
1,Pembangunan di Siaga (Biaya Perbaikan),0.0,150000.0,18000367.0,1
0,Pembangunan di Km 9,0.0,2400000.0,15601722.0,1
0,Pembangunan di Km 9,0.0,500000.0,15095222.0,1
0,Pembangunan di Km 9,0.0,5000000.0,10095222.0,1
0,Pembangunan di Km 9,0.0,1900000.0,8188722.0,1
0,Pembangunan di Km 9,0.0,750000.0,7438722.0,1
0,Pembangunan di Km 9,0.0,3750000.0,3682222.0,1
0,Pembangunan di Km 9,0.0,600000.0,3082222.0,1
0,Pembangunan di Km 9,0.0,3000000.0,75722.0,1
0,Pembangunan di Km 9,0.0,10000000.0,68701722.0,1
0,Pembangunan di Km 9,0.0,1000000.0,67701722.0,1
0,Pembangunan di Km 9,0.0,200000.0,65501722.0,1
0,Pembangunan di Km 9,0.0,500000.0,64995222.0,1
0,Pembangunan di Km 9,0.0,5000000.0,59995222.0,1
0,Pembangunan di Km 9,0.0,6500.0,59988722.0,1
0,Pembangunan di Km 9,0.0,5000000.0,54988722.0,1
0,Pembangunan di Km 9,0.0,6500.0,54982222.0,1
0,Pembangunan di Km 9,0.0,5000000.0,49982222.0,1
0,Pembangunan di Km 9,0.0,1000000.0,48975722.0,1
0,Pembangunan di Km 9,0.0,6500.0,48969222.0,1
0,Pembangunan di Km 9,0.0,427000.0,38542222.0,1
0,Pembangunan di Km 9,5000000.0,0.0,43535722.0,0
0,Pembangunan di Km 9,0.0,150000.0,38885722.0,1
0,Pembangunan di Km 9,0.0,1350000.0,36235722.0,1
0,Pembangunan di Km 9,0.0,6500.0,36229222.0,1
0,Pembangunan di Km 9,0.0,1322.0,36234507.0,1
0,Pembangunan di Km 9,0.0,11000.0,36223507.0,1
0,Pembangunan di Km 9,0.0,4000.0,36219507.0,1
0,Pembangunan di Km 9,0.0,600000.0,35619507.0,1
0,Pembangunan di Km 9,0.0,20000.0,35599507.0,1
0,Pembangunan di Km 9,0.0,3000000.0,32218507.0,1
0,Pembangunan di Km 9,0.0,3500000.0,28718507.0,1
0,Pembangunan di Km 9,0.0,6500.0,28712007.0,1
0,Pembangunan di Km 9,0.0,1350000.0,27362007.0,1
0,Pembangunan di Km 9,0.0,5000000.0,22355507.0,1
0,Pembangunan di Km 9,0.0,5000000.0,17349007.0,1
0,Pembangunan di Km 9,0.0,6500.0,17342507.0,1
0,Pembangunan di Km 9,0.0,5000000.0,7342507.0,1
0,Pembangunan di Km 9,0.0,960000.0,6376007.0,1
0,Pembangunan di Km 9,0.0,1200000.0,4656007.0,1
0,Pembangunan di Km 9,0.0,250000.0,4399507.0,1
0,Pembangunan di Km 9,0.0,175000.0,4224507.0,1
0,Pembangunan di Km 9,0.0,350000.0,3864507.0,1
0,Pembangunan di Km 9,0.0,3000.0,3861507.0,1
0,Pembangunan di Km 9,0.0,6500.0,3855007.0,1
0,Pembangunan di Km 9,0.0,6500.0,2848507.0,1
0,Pembangunan di Km 9,0.0,1000000.0,1848507.0,1
0,Pembangunan di Km 9,0.0,6500.0,1842007.0,1
0,Pembangunan di Km 9,4000000.0,0.0,5842007.0,0
0,Pembangunan di Km 9,0.0,4416000.0,1426007.0,1
0,Pembangunan di Km 9,0.0,6500.0,1069507.0,1
0,Pembangunan di Km 9,0.0,1000000.0,2524507.0,1
0,Pembangunan di Km 9,0.0,1000000.0,4505007.0,1
0,Pembangunan di Km 9,0.0,2475000.0,2023507.0,1
0,Pembangunan di Km 9,0.0,102000.0,1915007.0,1
0,Pembangunan di Km 9,0.0,10000000.0,56908507.0,1
0,Pembangunan di Km 9,0.0,520000.0,51028507.0,1
0,Pembangunan di Km 9,0.0,145000.0,50628507.0,1
0,Pembangunan di Km 9,0.0,1500.0,50602007.0,1
0,Pembangunan di Km 9,0.0,500000.0,50102007.0,1
0,Pembangunan di Km 9,0.0,6500.0,50095507.0,1
0,Pembangunan di Km 9,3500000.0,0.0,53595507.0,0
0,Pembangunan di Km 9,0.0,31000000.0,22595507.0,1
0,Pembangunan di Km 9,0.0,500000.0,22095507.0,1
0,Pembangunan di Km 9,0.0,500000.0,21089007.0,1
0,Pembangunan di Km 9,0.0,5000000.0,16082507.0,1
0,Pembangunan di Km 9,0.0,225000.0,15851007.0,1
0,Pembangunan di Km 9,0.0,1000000.0,14851007.0,1
0,Pembangunan di Km 9,0.0,500000.0,14344507.0,1
0,Pembangunan di Km 9,0.0,1640000.0,12698007.0,1
0,Pembangunan di Km 9,0.0,6500.0,10711507.0,1
0,Pembangunan di Km 9,0.0,900000.0,20811507.0,1
0,Pembangunan di Km 9,0.0,500000.0,20299702.0,1
0,Pembangunan di Km 9,0.0,6500.0,20293202.0,1
0,Pembangunan di Km 9,0.0,160000.0,20133202.0,1
0,Pembangunan di Km 9,0.0,6500.0,15373702.0,1
0,Pembangunan di Km 9,0.0,6000.0,14317702.0,1
0,Pembangunan di Km 9,0.0,2000000.0,11531202.0,1
0,Pembangunan di Km 9,0.0,5000000.0,6524702.0,1
0,Pembangunan di Km 9,0.0,6500.0,6518202.0,1
0,Pembangunan di Km 9,0.0,5000000.0,1518202.0,1
0,Pembangunan di Km 9,0.0,500000.0,1018202.0,1
0,Pembangunan di Km 9,1000000.0,0.0,2011702.0,0
0,Pembangunan di Km 9,0.0,6500.0,505202.0,1
0,Pembangunan di Km 9,0.0,40000.0,385202.0,1
0,Pembangunan di Km 9,0.0,12000.0,373202.0,1
0,Pembangunan di Km 9,0.0,6500.0,256702.0,1
0,Pembangunan di Km 9,10000000.0,0.0,10256702.0,0
0,Pembangunan di Km 9,0.0,4416000.0,2499802.0,1
0,Pembangunan di Km 9,0.0,150000.0,2349802.0,1
0,Pembangunan di Km 9,0.0,6500.0,2343302.0,1
0,Pembangunan di Km 9,0.0,1000000.0,1343302.0,1
0,Pembangunan di Km 9,0.0,100000.0,538934.0,1
0,Pembangunan di Km 9,0.0,3000.0,535934.0,1
0,Pembangunan di Km 9,0.0,6500.0,369434.0,1
0,Pembangunan di Km 9,0.0,6500.0,162934.0,1
0,Pembangunan di Km 9,0.0,1000000.0,8162934.0,1
0,Pembangunan di Km 9,0.0,1000000.0,7156434.0,1
0,Pembangunan di Km 9,0.0,6500.0,6149934.0,1
0,Pembangunan di Km 9,0.0,645000.0,5244934.0,1
0,Pembangunan di Km 9,0.0,162000.0,5082934.0,1
0,Pembangunan di Km 9,0.0,36000.0,4200434.0,1
0,Pembangunan di Km 9,0.0,325000.0,3875434.0,1
0,Pembangunan di Km 9,0.0,15000.0,3860434.0,1
0,Pembangunan di Km 9,0.0,95000.0,3765434.0,1
0,Pembangunan di Km 9,0.0,6500.0,3628934.0,1
0,Pembangunan di Km 9,0.0,150000.0,3478934.0,1
0,Pembangunan di Km 9,0.0,6500.0,3472434.0,1
0,Pembangunan di Km 9,0.0,2400000.0,1072434.0,1
0,Pembangunan di Km 9,0.0,6500.0,1065934.0,1
0,Pembangunan di Km 9,0.0,250000.0,815934.0,1
0,Pembangunan di Km 9,0.0,645000.0,170934.0,1
0,Pembangunan di Km 9,0.0,200000.0,264434.0,1
0,Setoran Keempat,25000000.0,0.0,25257934.0,0
0,Pembangunan di Km 9,0.0,6500.0,20251434.0,1
0,Pembangunan di Km 9,0.0,5000000.0,15251434.0,1
0,Pembangunan di Km 9,0.0,5000000.0,10244934.0,1
0,Pembangunan di Km 9,0.0,5000000.0,5238434.0,1
0,Pembangunan di Km 9,0.0,6500.0,5231934.0,1
0,Pembangunan di Km 9,0.0,2100000.0,3131934.0,1
0,Pembangunan di Km 9,0.0,6500.0,3125434.0,1
0,Pembangunan di Km 9,7500000.0,0.0,10625434.0,0
0,Pembangunan di Km 9,0.0,6630000.0,3995434.0,1
0,Pembangunan di Km 9,0.0,6500.0,3988934.0,1
0,Pembangunan di Km 9,0.0,500000.0,3488934.0,1
0,Pembangunan di Km 9,0.0,6500.0,3482434.0,1
0,Pembangunan di Km 9,0.0,365000.0,3117434.0,1
0,Pembangunan di Km 9,0.0,460000.0,2657434.0,1
0,Pembangunan di Km 9,0.0,270000.0,2387434.0,1
0,Pembangunan di Km 9,0.0,600000.0,1787434.0,1
0,Pembangunan di Km 9,0.0,6500.0,1780934.0,1
0,Pembangunan di Km 9,0.0,200000.0,1580934.0,1
0,Setoran Kelima,28000000.0,0.0,29574434.0,0
0,Pembangunan di Km 9,0.0,800000.0,28774434.0,1
0,Pembangunan di Km 9,0.0,6500.0,28767934.0,1
0,Pembangunan di Km 9,0.0,1180000.0,27587934.0,1
0,Pembangunan di Km 9,0.0,6500.0,25581434.0,1
0,Pembangunan di Km 9,0.0,6500.0,24724934.0,1
0,Pembangunan di Km 9,0.0,2400000.0,22324934.0,1
0,Pembangunan di Km 9,0.0,25000.0,22293434.0,1
0,Pembangunan di Km 9,0.0,6500.0,22286934.0,1
0,Pembangunan di Km 9,0.0,5000000.0,16436934.0,1
0,Pembangunan di Km 9,0.0,6500.0,11430434.0,1
0,Pembangunan di Km 9,0.0,6500.0,10923934.0,1
0,Pembangunan di Km 9,0.0,11000.0,10913713.0,1
0,Pembangunan di Km 9,0.0,4000.0,10909713.0,1
0,Pembangunan di Km 9,0.0,200000.0,10709713.0,1
0,Pembangunan di Km 9,0.0,560000.0,10143213.0,1
0,Pembangunan di Km 9,0.0,6500.0,9412367.0,1
0,Pembangunan di Km 9,0.0,6500.0,8905867.0,1
0,Pembangunan di Km 9,0.0,6500.0,8724367.0,1
0,Pembangunan di Km 9,7500000.0,0.0,11224367.0,0
0,Pembangunan di Km 9,0.0,6500.0,8717867.0,1
0,Pembangunan di Km 9,500000.0,0.0,15217867.0,0
0,Pembangunan di Km 9,0.0,300000.0,14706337.0,1
0,Pembangunan di Km 9,0.0,6500.0,14699837.0,1
0,Pembangunan di Km 9,0.0,850000.0,13849837.0,1
0,Pembangunan di Km 9,0.0,6500.0,12993337.0,1
0,Pembangunan di Km 9,0.0,4416000.0,8577337.0,1
0,Pembangunan di Km 9,200000.0,0.0,9777337.0,0
0,Pembangunan di Km 9,0.0,6500.0,9570837.0,1
0,Pembangunan di Km 9,0.0,250000.0,9320837.0,1
0,Pembangunan di Km 9,0.0,6500.0,9014337.0,1
0,Pembangunan di Km 9,0.0,275000.0,7986337.0,1
0,Pembangunan di Km 9,0.0,90000.0,5175337.0,1
0,Pembangunan di Km 9,0.0,30000.0,5020337.0,1
0,Pembangunan di Km 9,0.0,6500.0,5013837.0,1
0,Pembangunan di Km 9,0.0,300000.0,4713837.0,1
0,Pembangunan di Km 9,0.0,6500.0,4707337.0,1
0,Setoran Keenam,20000000.0,0.0,24707337.0,0
0,Pembangunan di Km 9,0.0,1000000.0,23707337.0,1
0,Pembangunan di Km 9,0.0,6500.0,23700837.0,1
0,Pembangunan di Km 9,0.0,1000000.0,22700837.0,1
0,Pembangunan di Km 9,0.0,1000000.0,21694337.0,1
0,Pembangunan di Km 9,0.0,2400000.0,19287837.0,1
0,Pembangunan di Km 9,0.0,6500.0,19281337.0,1
0,Pembangunan di Km 9,0.0,700000.0,18581337.0,1
0,Pembangunan di Km 9,0.0,6500.0,18574837.0,1
0,Pembangunan di Km 9,0.0,850000.0,17724837.0,1
0,Pembangunan di Km 9,0.0,500000.0,17224837.0,1
0,Pembangunan di Km 9,0.0,6500.0,17218337.0,1
0,Pembangunan di Km 9,0.0,1600000.0,15618337.0,1
0,Pembangunan di Km 9,0.0,2000000.0,12018337.0,1
0,Pembangunan di Km 9,0.0,600000.0,11411837.0,1
0,Pembangunan di Km 9,0.0,6500.0,11405337.0,1
0,Pembangunan di Km 9,0.0,115000.0,11015337.0,1
0,Pembangunan di Km 9,0.0,60000.0,10955337.0,1
0,Pembangunan di Km 9,0.0,30000.0,10925337.0,1
0,Pembangunan di Km 9,0.0,25000.0,10864337.0,1
0,Pembangunan di Km 9,0.0,23000.0,10691337.0,1
0,Pembangunan di Km 9,0.0,10000.0,10681337.0,1
0,Pembangunan di Km 9,0.0,500000.0,10181337.0,1
0,Pembangunan di Km 9,0.0,6500.0,10174837.0,1
0,Pembangunan di Km 9,0.0,500000.0,9674837.0,1
0,Pembangunan di Km 9,0.0,6500.0,9668337.0,1
0,Pembangunan di Km 9,0.0,1020000.0,8648337.0,1
0,Pembangunan di Km 9,0.0,476000.0,8172337.0,1
0,Pembangunan di Km 9,0.0,70000.0,8102337.0,1
0,Pembangunan di Km 9,0.0,38000.0,8064337.0,1
0,Pembangunan di Km 9,0.0,1330000.0,6719337.0,1
0,Pembangunan di Km 9,0.0,3250000.0,3462837.0,1
0,Pembangunan di Km 9,0.0,850000.0,2612837.0,1
0,Pembangunan di Km 9,0.0,6500.0,2606337.0,1
0,Pembangunan di Km 9,0.0,100000.0,2506337.0,1
0,Pembangunan di Km 9,0.0,3000.0,2503337.0,1
0,Setoran Ketujuh,10000000.0,0.0,12503337.0,0
0,Pembangunan di Km 9,0.0,6500.0,9496837.0,1
0,Pembangunan di Km 9,0.0,500000.0,8996837.0,1
0,Pembangunan di Km 9,0.0,108000.0,8882337.0,1
0,Pembangunan di Km 9,0.0,240000.0,8642337.0,1
0,Pembangunan di Km 9,0.0,192000.0,8450337.0,1
0,Pembangunan di Km 9,0.0,240000.0,8210337.0,1
0,Pembangunan di Km 9,0.0,2200000.0,5800337.0,1
0,Pembangunan di Km 9,0.0,1400000.0,3800337.0,1
0,Pembangunan di Km 9,0.0,600000.0,3200337.0,1
0,Pembangunan di Km 9,0.0,6500.0,3193837.0,1
0,Setoran Tunai,10000000.0,0.0,13193837.0,0
0,Setoran Tunai,30000000.0,0.0,43193837.0,0
0,Pembangunan di Km 9,0.0,5000000.0,38193837.0,1
0,Pembangunan di Km 9,0.0,6500.0,38187337.0,1
0,Pembangunan di Km 9,0.0,5000000.0,33187337.0,1
0,Pembangunan di Km 9,0.0,6500.0,33180837.0,1
0,Pembangunan di Km 9,0.0,6500.0,28174337.0,1
0,Pembangunan di Km 9,0.0,102000.0,28072337.0,1
0,Pembangunan di Km 9,0.0,6500.0,28065837.0,1
0,Pembangunan di Km 9,0.0,6500.0,27659337.0,1
0,Pembangunan di Km 9,0.0,6500.0,22652837.0,1
0,Pembangunan di Km 9,0.0,463.0,22654689.0,1
0,Pembangunan di Km 9,0.0,4000.0,22639689.0,1
0,Pembangunan di Km 9,0.0,6500.0,20633189.0,1
0,Pembangunan di Km 9,0.0,6500.0,19718189.0,1
0,Pembangunan di Km 9,0.0,1300000.0,20918189.0,1
0,Pembangunan di Km 9,240000.0,0.0,21151689.0,0
0,Pembangunan di Km 9,0.0,460000.0,19659689.0,1
0,Pembangunan di Km 9,0.0,220000.0,18949689.0,1
0,Pembangunan di Km 9,0.0,25000.0,18924689.0,1
0,Pembangunan di Km 9,0.0,6500.0,18883189.0,1
0,Pembangunan di Km 9,0.0,1200000.0,17683189.0,1
0,Pembangunan di Km 9,0.0,1200000.0,16483189.0,1
0,Pembangunan di Km 9,0.0,6500.0,16476689.0,1
0,Pembangunan di Km 9,0.0,500000.0,15976689.0,1
0,Pembangunan di Km 9,0.0,6500.0,15970189.0,1
0,Pembangunan di Km 9,0.0,1000000.0,14970189.0,1
0,Pembangunan di Km 9,0.0,6500.0,14113689.0,1
0,Pembangunan di Km 9,0.0,300000.0,13813689.0,1
0,Pembangunan di Km 9,0.0,54000.0,13753189.0,1
0,Pembangunan di Km 9,0.0,155000.0,13513189.0,1
0,Pembangunan di Km 9,0.0,95000.0,13418189.0,1
0,Pembangunan di Km 9,0.0,10000.0,13390189.0,1
0,Pembangunan di Km 9,0.0,8000.0,13354189.0,1
0,Pembangunan di Km 9,0.0,4000.0,13350189.0,1
0,Pembangunan di Km 9,0.0,44000.0,13306189.0,1
0,Pembangunan di Km 9,0.0,57000.0,13249189.0,1
0,Pembangunan di Km 9,0.0,180000.0,13069189.0,1
0,Pembangunan di Km 9,0.0,2000.0,13067189.0,1
0,Pembangunan di Km 9,0.0,6500.0,13060689.0,1
0,Pembangunan di Km 9,0.0,4416000.0,8644689.0,1
0,Pembangunan di Km 9,0.0,1500000.0,7144689.0,1
0,Pembangunan di Km 9,0.0,6500.0,7138189.0,1
0,Setoran Tunai,121600000.0,0.0,128738189.0,0
0,Pembangunan di Km 9,0.0,6080000.0,122658189.0,1
0,Pembangunan di Km 9,0.0,855000.0,121803189.0,1
0,Pembangunan di Km 9,0.0,165000.0,121548189.0,1
0,Pembangunan di Km 9,0.0,198000.0,121350189.0,1
0,Pembangunan di Km 9,0.0,6500.0,111343689.0,1
0,Pembangunan di Km 9,0.0,10000000.0,101343689.0,1
0,Pembangunan di Km 9,0.0,6500.0,101337189.0,1
0,Pembangunan di Km 9,0.0,10000000.0,91337189.0,1
0,Pembangunan di Km 9,0.0,6500.0,91330689.0,1
0,Pembangunan di Km 9,0.0,500000.0,90830689.0,1
0,Pembangunan di Km 9,0.0,2500000.0,88330689.0,1
0,Pembangunan di Km 9,0.0,400000.0,74930689.0,1
0,Pembangunan di Km 9,0.0,850000.0,74074189.0,1
0,Pembangunan di Km 9,0.0,6500.0,73217689.0,1
0,Pembangunan di Km 9,0.0,1200000.0,72017689.0,1
0,Pembangunan di Km 9,0.0,3375000.0,68642689.0,1
0,Pembangunan di Km 9,0.0,6500.0,68636189.0,1
0,Pembangunan di Km 9,0.0,6500.0,68329689.0,1
0,Pembangunan di Km 9,0.0,700000.0,67629689.0,1
0,Pembangunan di Km 9,0.0,6500.0,67443189.0,1
0,Pembangunan di Km 9,0.0,1500000.0,65943189.0,1
0,Pembangunan di Km 9,0.0,2100000.0,63836689.0,1
0,Pembangunan di Km 9,0.0,2475000.0,61355189.0,1
0,Pembangunan di Km 9,0.0,1419000.0,59936189.0,1
0,Pembangunan di Km 9,0.0,340000.0,55416189.0,1
0,Pembangunan di Km 9,0.0,400000.0,55009689.0,1
0,Pembangunan di Km 9,0.0,900000.0,54103189.0,1
0,Pembangunan di Km 9,0.0,6500.0,54096689.0,1
0,Pembangunan di Km 9,0.0,2400000.0,51696689.0,1
0,Pembangunan di Km 9,0.0,6500.0,51690189.0,1
0,Pembangunan di Km 9,0.0,100000.0,50690189.0,1
0,Pembangunan di Km 9,0.0,6500.0,50649689.0,1
0,Pembangunan di Km 9,0.0,6500.0,49203189.0,1
0,Pembangunan di Km 9,0.0,6500.0,46796689.0,1
0,Pembangunan di Km 9,0.0,3700000.0,43096689.0,1
0,Pembangunan di Km 9,0.0,1500000.0,41596689.0,1
0,Pembangunan di Km 9,0.0,10000000.0,31590189.0,1
0,Pembangunan di Km 9,0.0,600000.0,30983689.0,1
0,Pembangunan di Km 9,0.0,400000.0,30577189.0,1
0,Pembangunan di Km 9,0.0,6500.0,30570689.0,1
0,Pembangunan di Km 9,0.0,6500.0,25364189.0,1
0,Pembangunan di Km 9,0.0,6500.0,24157689.0,1
